# Game texture -> path inside a Minecraft resource pack.
# Mapping data from https://github.com/Kooostia16/mc_to_mineclonia
# by kooostia16, dedicated to the public domain under CC0 1.0.
# Extended by hand; see docs/materials.md.
#
# A pack is the player's own. Goanna reads it in place and never
# writes a converted copy: most Minecraft packs are under ordinary
# copyright, and converting one for yourself is not redistributing it.
# Game: mineclonia
game_texture,pack_path
bolt_leggings.png,trims/entity/humanoid_leggings/bolt.png
cactus_flower.png,block/cactus_flower.png
coast_leggings.png,trims/entity/humanoid_leggings/coast.png
cod_bucket.png,item/cod_bucket.png
crafting_workbench_front.png,block/crafting_table_front.png
crafting_workbench_side.png,block/crafting_table_side.png
crafting_workbench_top.png,block/crafting_table_top.png
default_acacia_leaves.png,block/acacia_leaves.png
default_acacia_sapling.png,block/acacia_sapling.png
default_acacia_tree.png,block/acacia_log.png
default_acacia_tree_top.png,block/acacia_log_top.png
default_acacia_wood.png,block/acacia_planks.png
default_apple.png,item/apple.png
default_brick.png,block/bricks.png
default_clay.png,block/clay.png
default_clay_brick.png,item/brick.png
default_clay_lump.png,item/clay_ball.png
default_coal_block.png,block/coal_block.png
default_coal_lump.png,item/coal.png
default_cobble.png,block/cobblestone.png
default_diamond.png,item/diamond.png
default_diamond_block.png,block/diamond_block.png
default_dirt.png,block/dirt.png
default_dry_shrub.png,block/short_dry_grass.png
default_flint.png,item/flint.png
default_glass.png,block/glass.png
default_gold_block.png,block/gold_block.png
default_gold_ingot.png,item/gold_ingot.png
default_gravel.png,block/gravel.png
default_ice.png,block/ice.png
default_jungleleaves.png,block/jungle_leaves.png
default_junglesapling.png,block/jungle_sapling.png
default_jungletree.png,block/jungle_log.png
default_jungletree_top.png,block/jungle_log_top.png
default_junglewood.png,block/jungle_planks.png
default_ladder.png,block/ladder.png
default_lava_flowing_animated.png,block/lava_flow.png
default_lava_source_animated.png,block/lava_still.png
default_leaves.png,block/oak_leaves.png
default_mossycobble.png,block/mossy_cobblestone.png
default_obsidian.png,block/obsidian.png
default_paper.png,item/paper.png
default_sand.png,block/sand.png
default_sapling.png,block/oak_sapling.png
default_snow.png,block/snow.png
default_steel_block.png,block/iron_block.png
default_steel_ingot.png,item/iron_ingot.png
default_stick.png,item/stick.png
default_stone.png,block/stone.png
default_stone_brick.png,block/stone_bricks.png
default_tool_diamondaxe.png,item/diamond_axe.png
default_tool_diamondpick.png,item/diamond_pickaxe.png
default_tool_diamondshovel.png,item/diamond_shovel.png
default_tool_diamondsword.png,item/diamond_sword.png
default_tool_goldaxe.png,item/golden_axe.png
default_tool_goldpick.png,item/golden_pickaxe.png
default_tool_goldshovel.png,item/golden_shovel.png
default_tool_goldsword.png,item/golden_sword.png
default_tool_netheriteaxe.png,item/netherite_axe.png
default_tool_netheritepick.png,item/netherite_pickaxe.png
default_tool_netheriteshovel.png,item/netherite_shovel.png
default_tool_netheritesword.png,item/netherite_sword.png
default_tool_shears.png,item/shears.png
default_tool_steelaxe.png,item/iron_axe.png
default_tool_steelpick.png,item/iron_pickaxe.png
default_tool_steelshovel.png,item/iron_shovel.png
default_tool_steelsword.png,item/iron_sword.png
default_tool_stoneaxe.png,item/stone_axe.png
